PDB_ID	Binding_Type	pK	Max_Prediction	Mean_High_Prediction
1swr	Kd	6.921	0.500	0.200
1bn3	Kd	9.886	0.957	0.504
1bnt	Kd	9.796	0.951	0.452
1bnu	Kd	9.699	0.958	0.473
1a4r	Kd	6.658	0.937	0.393
1bnq	Kd	9.495	0.969	0.488
1rpj	Kd	6.481	0.500	0.216
1bn1	Kd	9.337	0.943	0.497
1bn4	Kd	9.310	0.955	0.481
1g46	Kd	8.796	0.930	0.513
1d4p	Kd	6.301	0.990	0.518
1bnw	Kd	9.081	0.946	0.472
2ans	Kd	5.921	0.952	0.373
1ork	Kd	8.807	0.883	0.316
1bnv	Kd	8.770	0.968	0.490
1duv	Kd	11.796	0.500	0.180
1b9j	Kd	5.959	0.633	0.230
1qka	Kd	5.921	0.724	0.261
3tmk	Kd	6.870	0.820	0.298
1d2e	Kd	6.000	0.895	0.213
1bgq	Kd	8.569	0.961	0.365
3kiv	Kd	4.699	0.520	0.217
1d7i	Kd	3.602	0.500	0.190
1d3p	Kd	7.387	0.989	0.511
1b58	Kd	6.585	0.726	0.236
2pcp	Kd	8.699	0.621	0.244
1yei	Kd	7.456	0.582	0.220
1yej	Kd	7.456	0.607	0.251
1b5j	Kd	7.432	0.709	0.239
1bzy	Kd	8.337	0.500	0.179
1b55	Kd	7.398	0.500	0.217
1b51	Kd	7.367	0.738	0.239
1qkb	Kd	7.347	0.696	0.240
1d7j	Kd	3.301	0.500	0.402
1b46	Kd	5.284	0.741	0.240
1b40	Kd	7.276	0.697	0.247
1b4z	Kd	5.229	0.677	0.237
1qk4	Kd	4.215	0.776	0.175
1qk3	Kd	5.149	0.689	0.170
1b52	Kd	7.119	0.820	0.240
1b5i	Kd	7.046	0.727	0.251
1d4y	Ki	11.097	0.991	0.653
2std	Ki	9.854	0.546	0.194
456c	Ki	9.770	0.891	0.417
1bxr	Ki	3.398	0.732	0.181
1pme	Ki	9.398	0.971	0.527
5yas	Ki	3.260	0.672	0.222
1cet	Ki	2.886	0.534	0.201
2bza	Ki	2.801	0.980	0.496
1qin	Ki	8.000	0.857	0.280
1g4o	Kd	8.252	0.914	0.470
1qf2	Ki	5.921	0.936	0.483
1bzc	Ki	4.921	0.974	0.485
1xka	Ki	6.883	0.993	0.596
1a94	Ki	7.854	0.989	0.558
1b8y	Ki	7.854	0.962	0.441
7std	Ki	10.721	0.500	0.184
1mfi	Ki	5.585	0.509	0.183
1bai	Ki	7.699	0.842	0.354
2bpv	Ki	7.674	0.994	0.652
1c3x	Ki	3.678	0.500	0.159
1bzj	Ki	4.658	0.903	0.413
966c	Ki	7.638	0.926	0.383
1b8o	Ki	10.638	0.585	0.315
1upf	Ki	4.602	0.500	0.153
1qhc	Ki	7.569	0.867	0.333
2fmb	Ki	8.699	0.731	0.350
5std	Ki	10.495	0.561	0.212
1ciz	Ki	7.444	0.971	0.480
2bpy	Ki	7.400	0.995	0.636
1hwr	Ki	8.328	0.989	0.673
1qbv	Ki	5.387	0.989	0.487
1e2k	Ki	4.943	0.500	0.219
1qf0	Ki	7.377	0.939	0.474
4std	Ki	10.328	0.500	0.190
1qf1	Ki	7.319	0.941	0.489
1qbq	Ki	8.301	0.712	0.256
3std	Ki	11.114	0.605	0.229
1fao	Kd	7.367	0.699	0.317
1fl3	Kd	6.796	0.731	0.277
1df8	Kd	9.699	0.537	0.214
1g52	Kd	9.538	0.933	0.507
1dl7	Kd	6.495	0.918	0.318
1g1d	Kd	9.444	0.916	0.486
1fcz	Kd	9.222	0.837	0.331
1d3d	Kd	9.092	0.986	0.501
1dzk	Kd	6.097	0.558	0.214
1g53	Kd	9.041	0.930	0.492
1qkt	Kd	9.036	0.717	0.405
1g54	Kd	8.824	0.955	0.531
1qft	Kd	8.770	0.500	0.227
1ql7	Kd	5.000	0.993	0.581
1c5c	Kd	6.959	0.867	0.343
1elr	Kd	4.959	0.850	0.366
1g45	Kd	8.638	0.924	0.517
1f4x	Kd	5.585	0.500	0.307
1fo0	Kd	5.585	0.621	0.231
1g3e	Ki	5.377	0.980	0.556
1ftm	Kd	7.606	0.888	0.402
1fzq	Kd	7.620	0.914	0.457
1e4h	Kd	8.409	0.648	0.332
1g48	Kd	8.409	0.933	0.511
1fcy	Kd	8.523	0.867	0.342
1bp0	Kd	5.398	0.913	0.290
1fcx	Kd	7.194	0.885	0.334
1d6v	Kd	6.174	0.819	0.270
1fch	Kd	7.155	0.500	0.321
1c1u	Ki	8.252	0.988	0.509
1b57	Ki	8.000	0.616	0.233
1c1r	Ki	7.629	0.993	0.546
1hee	Ki	5.337	0.500	0.248
1c1v	Ki	7.638	0.990	0.501
1c4u	Ki	10.367	0.990	0.474
1c70	Ki	10.301	0.994	0.647
1fjs	Ki	9.959	0.994	0.573
1fh8	Ki	6.886	0.539	0.255
1fhd	Ki	6.824	0.787	0.351
1c5x	Ki	6.678	0.968	0.520
1f3e	Ki	6.699	0.870	0.410
1fh9	Ki	6.432	0.729	0.281
1c5q	Ki	6.357	0.984	0.488
1e6s	Ki	3.222	0.658	0.266
1d4k	Ki	9.222	0.993	0.642
1d9i	Ki	9.108	0.988	0.472
1ec9	Ki	3.097	0.637	0.168
1f74	Ki	3.046	0.500	0.212
1ezq	Ki	9.046	0.993	0.576
1eoc	Ki	6.046	0.686	0.191
1ecq	Ki	3.000	0.570	0.172
1c5s	Ki	6.000	0.987	0.536
1f4e	Ki	2.959	0.537	0.205
1fkn	Ki	8.796	0.979	0.458
1d4l	Ki	8.770	0.995	0.661
1b6k	Ki	8.745	0.994	0.652
1f0t	Ki	6.000	0.993	0.513
1dqn	Ki	8.000	0.500	0.311
1d6w	Ki	5.959	0.990	0.464
1b6j	Ki	7.921	0.993	0.639
1qbn	Ki	5.854	0.992	0.539
1c83	Ki	4.854	0.971	0.478
1ecv	Ki	4.854	0.970	0.417
1qji	Ki	4.854	0.787	0.341
1qb1	Ki	6.770	0.994	0.530
1f0s	Ki	7.745	0.992	0.551
1qbo	Ki	7.745	0.994	0.553
1f57	Ki	5.638	0.500	0.194
1ejn	Ki	5.620	0.990	0.553
1c5n	Ki	4.699	0.923	0.402
1c86	Ki	4.699	0.977	0.454
1c5p	Ki	4.678	0.981	0.540
1f0r	Ki	7.658	0.992	0.573
1f4f	Ki	4.620	0.531	0.221
1g2o	Ki	10.553	0.608	0.238
1d09	Ki	7.569	0.619	0.190
1egh	Ki	5.699	0.500	0.156
1c5o	Ki	3.495	0.864	0.367
1f4g	Ki	6.481	0.684	0.254
1qan	Ki	4.481	0.754	0.339
1qb9	Ki	7.444	0.993	0.546
1fq5	Ki	8.398	0.765	0.277
1f73	Ki	2.387	0.601	0.223
1ql9	Ki	5.352	0.989	0.529
1dy4	Ki	4.357	0.783	0.234
1c88	Ki	5.292	0.978	0.501
1fh7	Ki	5.237	0.523	0.288
1e2l	Ki	4.288	0.500	0.196
1b6l	Ki	8.301	0.994	0.663
1ft7	Ki	5.180	0.572	0.216
1c5y	Ki	4.201	0.968	0.515
1c87	Ki	4.201	0.977	0.468
1f8b	Ki	5.398	0.837	0.249
1f0u	Ki	7.161	0.994	0.518
1gfy	Ki	5.080	0.948	0.419
1enu	Ki	5.081	0.829	0.356
1dgm	Ki	5.051	0.697	0.245
1c5t	Ki	4.097	0.983	0.537
1o33	Ki	5.745	0.993	0.541
1qb6	Ki	6.060	0.994	0.557
8a3h	Ki	4.056	0.611	0.293
1c84	Ki	5.004	0.941	0.432
1ie9	Kd	10.187	0.977	0.473
1hn4	Kd	3.824	0.605	0.253
1ex8	Kd	6.328	0.969	0.411
1g7v	Kd	6.398	0.709	0.259
1i7z	Kd	6.398	0.597	0.276
1e3g	Kd	9.004	0.955	0.412
1k1l	Kd	6.903	0.995	0.549
1fzo	Kd	7.886	0.539	0.281
1k1n	Kd	6.815	0.992	0.535
1i9n	Kd	8.658	0.926	0.510
1fzm	Kd	7.699	0.500	0.271
1if8	Kd	9.638	0.966	0.505
1ii5	Kd	6.620	0.500	0.262
1k1i	Kd	6.578	0.992	0.537
1k1j	Kd	7.553	0.992	0.541
1jgl	Kd	8.699	0.704	0.275
1i9p	Kd	8.409	0.930	0.490
1if7	Kd	10.523	0.967	0.507
1ikt	Kd	3.398	0.500	0.332
1k1m	Kd	7.398	0.993	0.533
1e3v	Kd	4.340	0.847	0.246
1fzk	Kd	8.398	0.804	0.286
1h6h	Kd	5.301	0.614	0.267
1fzj	Kd	8.097	0.562	0.276
1i1e	Kd	5.027	0.869	0.189
1j4r	Ki	7.721	0.723	0.341
1f8c	Ki	7.398	0.805	0.240
1e66	Ki	9.886	0.674	0.258
1g7g	Ki	6.602	0.941	0.418
1jzs	Ki	6.602	0.517	0.202
1i37	Ki	9.569	0.964	0.361
1k9s	Ki	6.523	0.516	0.239
1e6q	Ki	3.155	0.626	0.245
1iih	Ki	2.886	0.724	0.295
1e1x	Ki	5.886	0.984	0.571
1hdq	Ki	5.824	0.571	0.233
1e5j	Ki	4.000	0.598	0.308
1hlk	Ki	5.000	0.500	0.238
1g2k	Ki	7.959	0.994	0.659
1e1v	Ki	4.921	0.985	0.539
1g30	Ki	6.854	0.991	0.452
1f8e	Ki	4.824	0.818	0.289
1f5k	Ki	3.745	0.959	0.488
1fm9	Ki	9.000	0.921	0.396
1jak	Ki	5.569	0.885	0.324
1g3d	Ki	5.553	0.982	0.550
1hp5	Ki	6.553	0.734	0.241
1g98	Ki	5.699	0.611	0.164
1jsv	Ki	5.699	0.985	0.566
1g7f	Ki	5.469	0.938	0.401
1hi4	Ki	4.495	0.676	0.292
1ik4	Ki	7.409	0.586	0.204
1f8d	Ki	3.398	0.824	0.244
1f5l	Ki	5.276	0.945	0.453
1g2l	Ki	7.244	0.996	0.601
1hi3	Ki	4.194	0.617	0.282
1hyo	Ki	4.072	0.557	0.165
1k1o	Ki	6.171	0.993	0.537
1g36	Ki	7.174	0.995	0.529
1efy	Ki	8.222	0.934	0.355
1g35	Ki	8.137	0.991	0.635
1g32	Ki	6.108	0.990	0.447
1hi5	Ki	4.036	0.653	0.277
1m7y	Kd	10.959	0.644	0.204
1lbf	Kd	7.854	0.500	0.319
1n4k	Kd	10.046	0.500	0.220
1lrh	Kd	6.824	0.656	0.209
1li6	Kd	3.796	0.500	0.238
1ew9	Ki	3.222	0.564	0.142
1gx8	Kd	6.367	0.900	0.244
1m83	Kd	3.398	0.500	0.185
1lgt	Kd	6.097	0.769	0.200
1kdk	Kd	9.046	0.534	0.200
1kv1	Kd	5.936	0.895	0.412
1kzn	Kd	8.921	0.914	0.380
1kyv	Kd	5.921	0.738	0.215
1lhu	Kd	8.830	0.500	0.197
1lgw	Kd	4.000	0.565	0.213
1k6v	Kd	6.921	0.992	0.592
1h2t	Kd	7.886	0.717	0.218
1k6t	Kd	7.620	0.991	0.605
1jyq	Kd	8.699	0.933	0.396
1g85	Kd	5.481	0.612	0.202
1h0a	Kd	5.444	0.559	0.269
1k6c	Kd	7.481	0.992	0.599
1k6p	Kd	7.357	0.992	0.617
1jlr	Kd	3.333	0.676	0.184
1fd0	Kd	8.398	0.858	0.351
1li3	Kd	4.252	0.583	0.200
1lbk	Kd	3.175	0.751	0.386
1m48	Kd	5.086	0.573	0.356
1g7q	Kd	6.057	0.600	0.249
1ez9	Kd	5.097	0.948	0.449
1kmy	Kd	5.097	0.739	0.197
1li2	Kd	4.041	0.500	0.184
1ghy	Ki	8.097	0.985	0.486
1izh	Ki	7.699	0.994	0.627
1gi4	Ki	7.187	0.992	0.550
1d4h	Ki	10.000	0.993	0.648
1ec2	Ki	10.000	0.993	0.626
1gj6	Ki	7.000	0.994	0.542
1km3	Ki	4.907	0.598	0.320
1kuk	Ki	3.907	0.803	0.431
1m0q	Ki	3.886	0.700	0.203
1kug	Ki	3.796	0.793	0.403
1kui	Ki	3.772	0.847	0.398
1eby	Ki	9.699	0.993	0.636
1izi	Ki	6.585	0.992	0.602
1loq	Ki	3.699	0.681	0.391
1koj	Ki	6.699	0.604	0.175
1gpn	Ki	6.476	0.662	0.296
1j01	Ki	6.469	0.562	0.290
1m4h	Ki	9.523	0.981	0.455
1ebz	Ki	9.398	0.993	0.642
1gjc	Ki	6.347	0.989	0.530
1ksn	Ki	9.398	0.993	0.562
1l8g	Ki	6.222	0.983	0.483
1h22	Ki	9.097	0.773	0.350
1ebw	Ki	9.046	0.992	0.653
1ec3	Ki	9.036	0.993	0.633
1jq8	Ki	5.996	0.800	0.334
1fv0	Ki	5.928	0.684	0.300
1ec1	Ki	8.921	0.993	0.610
1h2k	Ki	2.921	0.684	0.214
1d4i	Ki	8.854	0.993	0.630
1k4g	Ki	5.854	0.917	0.442
1kpm	Ki	5.799	0.830	0.321
1kav	Ki	5.824	0.952	0.442
1gvw	Ki	6.959	0.893	0.338
1h5v	Ki	3.932	0.621	0.325
1jqy	Ki	4.921	0.592	0.241
1j16	Ki	3.845	0.952	0.446
1ghz	Ki	4.796	0.993	0.553
1lee	Ki	7.745	0.596	0.269
1h4w	Ki	4.658	0.952	0.483
1m1b	Ki	4.658	0.601	0.170
1ghv	Ki	4.347	0.985	0.480
1gyy	Ki	3.638	0.500	0.373
1n1m	Ki	5.699	0.500	0.142
1ec0	Ki	8.495	0.993	0.625
1gyx	Ki	2.481	0.500	0.300
1gi1	Ki	5.469	0.989	0.551
1jys	Ki	3.523	0.500	0.185
1lf2	Ki	7.523	0.609	0.260
1gi7	Ki	4.509	0.984	0.548
1j14	Ki	4.492	0.947	0.498
1iiq	Ki	7.481	0.993	0.640
1kc7	Ki	5.523	0.849	0.184
1k21	Ki	8.377	0.991	0.474
1gpk	Ki	5.367	0.638	0.292
1d4j	Ki	8.357	0.993	0.636
1h23	Ki	8.347	0.785	0.350
1m0o	Ki	2.310	0.668	0.219
1kzk	Ki	10.387	0.993	0.655
1i2s	Ki	3.310	0.864	0.283
1k22	Ki	8.398	0.990	0.467
1ew8	Ki	2.260	0.500	0.141
1j17	Ki	5.218	0.988	0.521
1m0n	Ki	2.222	0.680	0.213
1gvx	Ki	7.222	0.869	0.323
1kv5	Ki	4.222	0.751	0.307
1ghw	Ki	4.201	0.984	0.473
1h1s	Ki	8.222	0.989	0.550
1jcx	Ki	5.155	0.834	0.246
1k4h	Ki	5.114	0.906	0.404
1jvu	Ki	5.155	0.843	0.336
1eb2	Ki	6.009	0.993	0.548
1nf8	Kd	7.824	0.926	0.319
1o7o	Kd	4.495	0.707	0.305
1q72	Kd	6.854	0.635	0.265
1qyg	Kd	6.854	0.670	0.268
1p1n	Kd	6.796	0.808	0.354
1usi	Kd	6.745	0.518	0.159
1mrw	Kd	9.699	0.993	0.664
1g74	Kd	6.523	0.940	0.336
1usk	Kd	6.398	0.500	0.128
1m7d	Kd	6.229	0.500	0.379
1ogz	Kd	5.854	0.702	0.212
1mh5	Kd	9.215	0.791	0.285
1msn	Kd	9.092	0.992	0.633
1ogx	Kd	6.092	0.704	0.213
1ogd	Kd	3.032	0.500	0.167
1q8u	Kd	5.959	0.974	0.498
1ugx	Kd	5.907	0.500	0.255
1oz0	Kd	7.699	0.811	0.198
1ols	Kd	5.818	0.913	0.268
1p1o	Kd	5.759	0.842	0.357
1mjj	Kd	8.738	0.779	0.337
1r0p	Kd	8.000	0.982	0.423
1nli	Kd	3.585	0.500	0.226
1p1q	Kd	4.893	0.884	0.364
1q8t	Kd	4.757	0.956	0.474
1oif	Kd	7.721	0.865	0.319
1lnm	Kd	8.699	0.786	0.317
1gwv	Kd	2.572	0.910	0.358
1oba	Kd	2.444	0.500	0.200
1lke	Kd	7.520	0.806	0.306
1msm	Kd	10.481	0.993	0.647
1n0s	Kd	7.453	0.781	0.294
