PDB_ID	Binding_Type	pK	Max_Prediction
1ceb	Kd	6.000	0.500
1njd	Kd	5.569	0.900
1njc	Kd	5.553	0.847
1mai	Kd	6.678	0.500
1sld	Kd	6.569	0.763
2olb	Kd	5.538	0.675
1pot	Kd	5.495	0.571
1det	Kd	4.301	0.538
1kel	Kd	7.284	0.701
1mmq	Ki	7.523	0.900
1grp	Ki	3.724	0.745
1sln	Ki	6.638	0.967
1hsh	Ki	9.420	0.978
1igb	Ki	6.398	0.597
1jao	Ki	5.921	0.908
1gai	Ki	8.000	0.500
1tcx	Ki	6.951	0.994
1dud	Ki	4.824	0.629
1gno	Ki	7.699	0.991
1gnn	Ki	5.678	0.990
1dif	Ki	10.658	0.993
1jaq	Ki	4.481	0.766
2csn	Ki	4.409	0.859
1mmr	Ki	5.398	0.906
1mtr	Ki	8.398	0.994
1hpx	Ki	11.260	0.994
1gnm	Ki	6.252	0.991
1rnm	Ki	3.074	0.896
1fkw	Ki	5.046	0.865
1avn	Kd	3.903	0.864
1drv	Kd	6.538	0.800
1okl	Kd	6.032	0.880
1jev	Kd	6.886	0.672
1aj7	Kd	3.870	0.902
1jeu	Kd	6.824	0.737
1ado	Kd	6.000	0.500
2h4n	Kd	8.699	0.948
2mas	Kd	7.523	0.681
1jet	Kd	7.252	0.741
2aac	Kd	2.222	0.500
1uvt	Ki	7.638	0.987
1qbt	Ki	10.620	0.993
1qbr	Ki	10.569	0.994
1ajq	Ki	4.310	0.500
1qbu	Ki	10.237	0.990
1ai7	Ki	4.086	0.500
1hxb	Ki	9.921	0.993
1ai5	Ki	3.724	0.560
1dmp	Ki	9.553	0.992
1qbs	Ki	9.469	0.991
1hpo	Ki	9.222	0.993
1yds	Ki	5.921	0.961
3gss	Ki	5.824	0.697
2gss	Ki	4.939	0.500
1ajx	Ki	7.914	0.990
2rkm	Ki	3.903	0.566
3aid	Ki	6.863	0.993
1aid	Ki	4.824	0.988
1ajv	Ki	7.719	0.993
1ajn	Ki	2.635	0.522
1vfn	Ki	5.602	0.517
1ydr	Ki	5.523	0.968
1ai4	Ki	2.504	0.500
7upj	Ki	8.495	0.992
6upj	Ki	6.319	0.913
1ydt	Ki	7.319	0.972
1ajp	Ki	2.233	0.500
1amk	Ki	4.301	0.686
1tom	Ki	8.301	0.988
5upj	Ki	7.125	0.908
2jxr	Ki	7.046	0.618
1rtf	Ki	3.041	0.939
1b7h	Kd	8.022	0.726
1b6h	Kd	7.824	0.666
1bcu	Kd	3.276	0.971
1a4k	Kd	8.000	0.500
3pcj	Kd	7.222	0.802
1b1h	Kd	7.032	0.730
1b0h	Kd	6.699	0.750
1b38	Kd	6.595	0.975
3pck	Kd	6.699	0.794
1wdn	Kd	6.301	0.500
1b3h	Kd	6.208	0.710
1a9q	Kd	6.167	0.514
1ax0	Kd	3.127	0.574
1jmg	Kd	6.071	0.908
1b5h	Kd	6.013	0.737
1yet	Kd	5.921	0.981
1jmf	Kd	5.770	0.895
1b3l	Kd	5.886	0.767
1b3f	Kd	6.886	0.742
1a1e	Kd	6.000	0.946
2izl	Kd	6.000	0.570
1b3g	Kd	6.699	0.661
4tmk	Kd	7.699	0.855
1bm7	Kd	7.523	0.651
5tmp	Kd	7.469	0.850
3pcn	Kd	3.658	0.603
1amw	Kd	4.538	0.981
1b2h	Kd	4.538	0.708
1a99	Kd	5.699	0.619
1b4h	Kd	5.463	0.750
1swg	Kd	7.358	0.500
4rsk	Kd	4.324	0.881
1b05	Kd	7.125	0.697
1b32	Kd	7.102	0.643
1usn	Ki	7.745	0.953
1qaw	Kd	5.125	0.500
2qwe	Ki	7.481	0.856
1bv7	Ki	10.301	0.994
1xug	Ki	7.046	0.995
1bxo	Ki	10.000	0.920
1bv9	Ki	9.959	0.993
1bhx	Ki	6.839	0.991
2usn	Ki	6.509	0.961
1moq	Ki	3.456	0.536
1alw	Ki	6.523	0.500
1bdq	Ki	6.337	0.986
1met	Ki	9.398	0.992
10gs	Ki	6.398	0.602
1br6	Ki	3.222	0.803
2wed	Ki	6.097	0.949
3pcf	Ki	6.046	0.500
1a4w	Ki	5.921	0.992
3pce	Ki	2.000	0.500
2wec	Ki	3.959	0.935
2qwd	Ki	4.854	0.794
1hxw	Ki	10.824	0.994
1bju	Ki	4.796	0.991
2qwb	Ki	2.740	0.823
2qwf	Ki	5.666	0.873
1bwa	Ki	8.602	0.991
1bjv	Ki	5.538	0.992
1mes	Ki	7.699	0.991
6std	Ki	8.638	0.500
1afk	Ki	6.620	0.792
3jdw	Ki	3.597	0.500
2qwc	Ki	3.553	0.829
1hfs	Ki	8.699	0.977
1ohr	Ki	8.699	0.992
1bwb	Ki	8.420	0.992
1bxq	Ki	7.377	0.912
1a28	Ki	8.292	0.925
1a30	Ki	4.301	0.948
1afl	Ki	6.284	0.821
3pcg	Ki	2.301	0.500
1a69	Ki	5.301	0.500
1bq4	Ki	5.222	0.561
2web	Ki	5.119	0.935
1b8n	Ki	10.523	0.640
1stc	Ki	8.097	0.984
1bnn	Kd	10.000	0.957
1swr	Kd	6.921	0.500
1bn3	Kd	9.886	0.957
1bnt	Kd	9.796	0.951
1bnu	Kd	9.699	0.958
1a4r	Kd	6.658	0.937
1bnq	Kd	9.495	0.969
1rpj	Kd	6.481	0.500
1bn1	Kd	9.337	0.943
1bn4	Kd	9.310	0.955
1g46	Kd	8.796	0.930
1d4p	Kd	6.301	0.990
1bnw	Kd	9.081	0.946
2ans	Kd	5.921	0.952
1ork	Kd	8.807	0.883
1bnv	Kd	8.770	0.968
1duv	Kd	11.796	0.500
1b9j	Kd	5.959	0.633
1qka	Kd	5.921	0.724
3tmk	Kd	6.870	0.820
1d2e	Kd	6.000	0.895
1bgq	Kd	8.569	0.961
3kiv	Kd	4.699	0.520
1d7i	Kd	3.602	0.500
1d3p	Kd	7.387	0.989
1b58	Kd	6.585	0.726
2pcp	Kd	8.699	0.621
1yei	Kd	7.456	0.582
1yej	Kd	7.456	0.607
1b5j	Kd	7.432	0.709
1bzy	Kd	8.337	0.500
1b55	Kd	7.398	0.500
1b51	Kd	7.367	0.738
1qkb	Kd	7.347	0.696
1d7j	Kd	3.301	0.500
1b46	Kd	5.284	0.741
1b40	Kd	7.276	0.697
1b4z	Kd	5.229	0.677
1qk4	Kd	4.215	0.776
1qk3	Kd	5.149	0.689
1b52	Kd	7.119	0.820
1b5i	Kd	7.046	0.727
1d4y	Ki	11.097	0.991
2std	Ki	9.854	0.546
456c	Ki	9.770	0.891
1bxr	Ki	3.398	0.732
1pme	Ki	9.398	0.971
5yas	Ki	3.260	0.672
1cet	Ki	2.886	0.534
2bza	Ki	2.801	0.980
1qin	Ki	8.000	0.857
1g4o	Kd	8.252	0.914
1qf2	Ki	5.921	0.936
1bzc	Ki	4.921	0.974
1xka	Ki	6.883	0.993
1a94	Ki	7.854	0.989
1b8y	Ki	7.854	0.962
7std	Ki	10.721	0.500
1mfi	Ki	5.585	0.509
1bai	Ki	7.699	0.842
2bpv	Ki	7.674	0.994
1c3x	Ki	3.678	0.500
1bzj	Ki	4.658	0.903
966c	Ki	7.638	0.926
1b8o	Ki	10.638	0.585
1upf	Ki	4.602	0.500
1qhc	Ki	7.569	0.867
2fmb	Ki	8.699	0.731
5std	Ki	10.495	0.561
1ciz	Ki	7.444	0.971
2bpy	Ki	7.400	0.995
1hwr	Ki	8.328	0.989
1qbv	Ki	5.387	0.989
1e2k	Ki	4.943	0.500
1qf0	Ki	7.377	0.939
4std	Ki	10.328	0.500
1qf1	Ki	7.319	0.941
1qbq	Ki	8.301	0.712
3std	Ki	11.114	0.605
1fao	Kd	7.367	0.699
1fl3	Kd	6.796	0.731
1df8	Kd	9.699	0.537
1g52	Kd	9.538	0.933
1dl7	Kd	6.495	0.918
1g1d	Kd	9.444	0.916
1fcz	Kd	9.222	0.837
1d3d	Kd	9.092	0.986
1dzk	Kd	6.097	0.558
1g53	Kd	9.041	0.930
1qkt	Kd	9.036	0.717
1g54	Kd	8.824	0.955
1qft	Kd	8.770	0.500
1ql7	Kd	5.000	0.993
1c5c	Kd	6.959	0.867
1elr	Kd	4.959	0.850
1g45	Kd	8.638	0.924
1f4x	Kd	5.585	0.500
1fo0	Kd	5.585	0.621
1g3e	Ki	5.377	0.980
1ftm	Kd	7.606	0.888
1fzq	Kd	7.620	0.914
1e4h	Kd	8.409	0.648
1g48	Kd	8.409	0.933
1fcy	Kd	8.523	0.867
1bp0	Kd	5.398	0.913
1fcx	Kd	7.194	0.885
1d6v	Kd	6.174	0.819
1fch	Kd	7.155	0.500
1c1u	Ki	8.252	0.988
1b57	Ki	8.000	0.616
1c1r	Ki	7.629	0.993
1hee	Ki	5.337	0.500
1c1v	Ki	7.638	0.990
1c4u	Ki	10.367	0.990
1c70	Ki	10.301	0.994
1fjs	Ki	9.959	0.994
1fh8	Ki	6.886	0.539
1fhd	Ki	6.824	0.787
1c5x	Ki	6.678	0.968
1f3e	Ki	6.699	0.870
1fh9	Ki	6.432	0.729
1c5q	Ki	6.357	0.984
1e6s	Ki	3.222	0.658
1d4k	Ki	9.222	0.993
1d9i	Ki	9.108	0.988
1ec9	Ki	3.097	0.637
1f74	Ki	3.046	0.500
1ezq	Ki	9.046	0.993
1eoc	Ki	6.046	0.686
1ecq	Ki	3.000	0.570
1c5s	Ki	6.000	0.987
1f4e	Ki	2.959	0.537
1fkn	Ki	8.796	0.979
1d4l	Ki	8.770	0.995
1b6k	Ki	8.745	0.994
1f0t	Ki	6.000	0.993
1dqn	Ki	8.000	0.500
1d6w	Ki	5.959	0.990
1b6j	Ki	7.921	0.993
1qbn	Ki	5.854	0.992
1c83	Ki	4.854	0.971
1ecv	Ki	4.854	0.970
1qji	Ki	4.854	0.787
1qb1	Ki	6.770	0.994
1f0s	Ki	7.745	0.992
1qbo	Ki	7.745	0.994
1f57	Ki	5.638	0.500
1ejn	Ki	5.620	0.990
1c5n	Ki	4.699	0.923
1c86	Ki	4.699	0.977
1c5p	Ki	4.678	0.981
1f0r	Ki	7.658	0.992
1f4f	Ki	4.620	0.531
1g2o	Ki	10.553	0.608
1d09	Ki	7.569	0.619
1egh	Ki	5.699	0.500
1c5o	Ki	3.495	0.864
1f4g	Ki	6.481	0.684
1qan	Ki	4.481	0.754
1qb9	Ki	7.444	0.993
1fq5	Ki	8.398	0.765
1f73	Ki	2.387	0.601
1ql9	Ki	5.352	0.989
1dy4	Ki	4.357	0.783
1c88	Ki	5.292	0.978
1fh7	Ki	5.237	0.523
1e2l	Ki	4.288	0.500
1b6l	Ki	8.301	0.994
1ft7	Ki	5.180	0.572
1c5y	Ki	4.201	0.968
1c87	Ki	4.201	0.977
1f8b	Ki	5.398	0.837
1f0u	Ki	7.161	0.994
1gfy	Ki	5.080	0.948
1enu	Ki	5.081	0.829
1dgm	Ki	5.051	0.697
1c5t	Ki	4.097	0.983
1o33	Ki	5.745	0.993
1qb6	Ki	6.060	0.994
8a3h	Ki	4.056	0.611
1c84	Ki	5.004	0.941
1ie9	Kd	10.187	0.977
1hn4	Kd	3.824	0.605
1ex8	Kd	6.328	0.969
1g7v	Kd	6.398	0.709
1i7z	Kd	6.398	0.597
1e3g	Kd	9.004	0.955
1k1l	Kd	6.903	0.995
1fzo	Kd	7.886	0.539
1k1n	Kd	6.815	0.992
1i9n	Kd	8.658	0.926
1fzm	Kd	7.699	0.500
1if8	Kd	9.638	0.966
1ii5	Kd	6.620	0.500
1k1i	Kd	6.578	0.992
1k1j	Kd	7.553	0.992
1jgl	Kd	8.699	0.704
1i9p	Kd	8.409	0.930
1if7	Kd	10.523	0.967
1ikt	Kd	3.398	0.500
1k1m	Kd	7.398	0.993
1e3v	Kd	4.340	0.847
1fzk	Kd	8.398	0.804
1h6h	Kd	5.301	0.614
1fzj	Kd	8.097	0.562
1i1e	Kd	5.027	0.869
1j4r	Ki	7.721	0.723
1f8c	Ki	7.398	0.805
1e66	Ki	9.886	0.674
1g7g	Ki	6.602	0.941
1jzs	Ki	6.602	0.517
1i37	Ki	9.569	0.964
1k9s	Ki	6.523	0.516
1e6q	Ki	3.155	0.626
1iih	Ki	2.886	0.724
1e1x	Ki	5.886	0.984
1hdq	Ki	5.824	0.571
1e5j	Ki	4.000	0.598
1hlk	Ki	5.000	0.500
1g2k	Ki	7.959	0.994
1e1v	Ki	4.921	0.985
1g30	Ki	6.854	0.991
1f8e	Ki	4.824	0.818
1f5k	Ki	3.745	0.959
1fm9	Ki	9.000	0.921
1jak	Ki	5.569	0.885
1g3d	Ki	5.553	0.982
1hp5	Ki	6.553	0.734
1g98	Ki	5.699	0.611
1jsv	Ki	5.699	0.985
1g7f	Ki	5.469	0.938
1hi4	Ki	4.495	0.676
1ik4	Ki	7.409	0.586
1f8d	Ki	3.398	0.824
1f5l	Ki	5.276	0.945
1g2l	Ki	7.244	0.996
1hi3	Ki	4.194	0.617
1hyo	Ki	4.072	0.557
1k1o	Ki	6.171	0.993
1g36	Ki	7.174	0.995
1efy	Ki	8.222	0.934
1g35	Ki	8.137	0.991
1g32	Ki	6.108	0.990
1hi5	Ki	4.036	0.653
1m7y	Kd	10.959	0.644
1lbf	Kd	7.854	0.500
1n4k	Kd	10.046	0.500
1lrh	Kd	6.824	0.656
1li6	Kd	3.796	0.500
1ew9	Ki	3.222	0.564
1gx8	Kd	6.367	0.900
1m83	Kd	3.398	0.500
1lgt	Kd	6.097	0.769
1kdk	Kd	9.046	0.534
1kv1	Kd	5.936	0.895
1kzn	Kd	8.921	0.914
1kyv	Kd	5.921	0.738
1lhu	Kd	8.830	0.500
1lgw	Kd	4.000	0.565
1k6v	Kd	6.921	0.992
1h2t	Kd	7.886	0.717
1k6t	Kd	7.620	0.991
1jyq	Kd	8.699	0.933
1g85	Kd	5.481	0.612
1h0a	Kd	5.444	0.559
1k6c	Kd	7.481	0.992
1k6p	Kd	7.357	0.992
1jlr	Kd	3.333	0.676
1fd0	Kd	8.398	0.858
1li3	Kd	4.252	0.583
1lbk	Kd	3.175	0.751
1m48	Kd	5.086	0.573
1g7q	Kd	6.057	0.600
1ez9	Kd	5.097	0.948
1kmy	Kd	5.097	0.739
1li2	Kd	4.041	0.500
1ghy	Ki	8.097	0.985
1izh	Ki	7.699	0.994
1gi4	Ki	7.187	0.992
1d4h	Ki	10.000	0.993
1ec2	Ki	10.000	0.993
1gj6	Ki	7.000	0.994
1km3	Ki	4.907	0.598
1kuk	Ki	3.907	0.803
1m0q	Ki	3.886	0.700
1kug	Ki	3.796	0.793
1kui	Ki	3.772	0.847
1eby	Ki	9.699	0.993
1izi	Ki	6.585	0.992
1loq	Ki	3.699	0.681
1koj	Ki	6.699	0.604
1gpn	Ki	6.476	0.662
1j01	Ki	6.469	0.562
1m4h	Ki	9.523	0.981
1ebz	Ki	9.398	0.993
1gjc	Ki	6.347	0.989
1ksn	Ki	9.398	0.993
1l8g	Ki	6.222	0.983
1h22	Ki	9.097	0.773
1ebw	Ki	9.046	0.992
1ec3	Ki	9.036	0.993
1jq8	Ki	5.996	0.800
1fv0	Ki	5.928	0.684
1ec1	Ki	8.921	0.993
1h2k	Ki	2.921	0.684
1d4i	Ki	8.854	0.993
1k4g	Ki	5.854	0.917
1kpm	Ki	5.799	0.830
1kav	Ki	5.824	0.952
1gvw	Ki	6.959	0.893
1h5v	Ki	3.932	0.621
1jqy	Ki	4.921	0.592
1j16	Ki	3.845	0.952
1ghz	Ki	4.796	0.993
1lee	Ki	7.745	0.596
1h4w	Ki	4.658	0.952
1m1b	Ki	4.658	0.601
1ghv	Ki	4.347	0.985
1gyy	Ki	3.638	0.500
1n1m	Ki	5.699	0.500
1ec0	Ki	8.495	0.993
1gyx	Ki	2.481	0.500
1gi1	Ki	5.469	0.989
1jys	Ki	3.523	0.500
1lf2	Ki	7.523	0.609
1gi7	Ki	4.509	0.984
1j14	Ki	4.492	0.947
1iiq	Ki	7.481	0.993
1kc7	Ki	5.523	0.849
1k21	Ki	8.377	0.991
1gpk	Ki	5.367	0.638
1d4j	Ki	8.357	0.993
1h23	Ki	8.347	0.785
1m0o	Ki	2.310	0.668
1kzk	Ki	10.387	0.993
1i2s	Ki	3.310	0.864
1k22	Ki	8.398	0.990
1ew8	Ki	2.260	0.500
1j17	Ki	5.218	0.988
1m0n	Ki	2.222	0.680
1gvx	Ki	7.222	0.869
1kv5	Ki	4.222	0.751
1ghw	Ki	4.201	0.984
1h1s	Ki	8.222	0.989
1jcx	Ki	5.155	0.834
1k4h	Ki	5.114	0.906
1jvu	Ki	5.155	0.843
1eb2	Ki	6.009	0.993
1nf8	Kd	7.824	0.926
1o7o	Kd	4.495	0.707
1q72	Kd	6.854	0.635
1qyg	Kd	6.854	0.670
1p1n	Kd	6.796	0.808
1usi	Kd	6.745	0.518
1mrw	Kd	9.699	0.993
1g74	Kd	6.523	0.940
1usk	Kd	6.398	0.500
1m7d	Kd	6.229	0.500
1ogz	Kd	5.854	0.702
1mh5	Kd	9.215	0.791
1msn	Kd	9.092	0.992
1ogx	Kd	6.092	0.704
1ogd	Kd	3.032	0.500
1q8u	Kd	5.959	0.974
1ugx	Kd	5.907	0.500
1oz0	Kd	7.699	0.811
1ols	Kd	5.818	0.913
1p1o	Kd	5.759	0.842
1mjj	Kd	8.738	0.779
1r0p	Kd	8.000	0.982
1nli	Kd	3.585	0.500
1p1q	Kd	4.893	0.884
1q8t	Kd	4.757	0.956
1oif	Kd	7.721	0.865
1lnm	Kd	8.699	0.786
1gwv	Kd	2.572	0.910
1oba	Kd	2.444	0.500
1lke	Kd	7.520	0.806
1msm	Kd	10.481	0.993
1n0s	Kd	7.453	0.781
1olu	Kd	4.406	0.928
1oe8	Kd	5.523	0.785
1m7i	Kd	5.398	0.500
1lvu	Kd	5.319	0.725
1hk4	Kd	5.310	0.841
1olx	Kd	4.327	0.925
1pz5	Kd	5.398	0.760
1q8w	Kd	5.244	0.979
1m5w	Kd	4.268	0.588
1mrx	Kd	7.260	0.991
1m2p	Ki	6.108	0.976
1ucn	Kd	5.222	0.500
1nw5	Kd	5.215	0.779
1odi	Kd	4.208	0.637
1nw7	Kd	5.092	0.767
1odj	Kd	4.097	0.717
1onz	Kd	5.097	0.921
1o3f	Ki	7.959	0.994
1o2q	Ki	7.678	0.993
1lyx	Ki	4.538	0.500
1n46	Ki	10.523	0.789
1oyt	Ki	7.244	0.989
1o3i	Ki	7.301	0.993
1o2h	Ki	7.167	0.993
1o3d	Ki	7.131	0.994
1nz7	Ki	7.119	0.964
1nm6	Ki	10.046	0.991
1o2j	Ki	6.921	0.992
1pvn	Ki	9.824	0.941
1o38	Ki	6.824	0.994
1q54	Ki	5.854	0.863
1nq7	Ki	6.796	0.654
1o30	Ki	6.770	0.993
1o3j	Ki	6.770	0.993
1ony	Ki	6.770	0.948
1o86	Ki	9.569	0.926
1n4h	Ki	6.553	0.624
1o3l	Ki	6.538	0.993
1m2r	Ki	6.456	0.968
1o2o	Ki	6.357	0.994
1pbq	Ki	6.268	0.829
1iy7	Ki	6.194	0.517
1k1y	Ki	3.222	0.706
1nc1	Ki	6.125	0.678
1o2z	Ki	6.108	0.993
1m2q	Ki	6.097	0.978
1o2n	Ki	6.092	0.994
1nhz	Ki	6.076	0.818
1os0	Ki	6.032	0.953
1k27	Ki	9.000	0.879
1j37	Ki	8.959	0.671
1nfw	Ki	8.959	0.994
1nl9	Ki	5.959	0.936
1o36	Ki	5.959	0.991
1o0h	Ki	5.921	0.800
1n3i	Ki	8.886	0.760
1nfy	Ki	8.886	0.992
1nt1	Ki	8.886	0.988
1o2w	Ki	5.854	0.990
1my4	Ki	6.979	0.785
1nc3	Ki	5.000	0.651
1o35	Ki	5.000	0.991
1jn4	Ki	4.947	0.831
1oyq	Ki	6.959	0.996
1mrs	Ki	3.959	0.695
1ndv	Ki	5.921	0.896
1pr5	Ki	3.921	0.566
1n51	Ki	4.854	0.977
1njs	Ki	7.824	0.983
1nvs	Ki	7.824	0.984
1oss	Ki	4.785	0.570
1j36	Ki	7.745	0.844
1nfu	Ki	7.745	0.992
1mq5	Ki	9.000	0.994
1n5r	Ki	5.658	0.824
1nhu	Ki	5.658	0.766
1nny	Ki	7.658	0.938
1pb9	Ki	3.618	0.906
1lpz	Ki	7.602	0.993
1pa9	Ki	4.602	0.781
1h46	Ki	3.569	0.855
1np0	Ki	3.569	0.625
1lpk	Ki	7.553	0.993
1i5r	Ki	8.523	0.715
1nfx	Ki	8.523	0.992
1pyn	Ki	5.495	0.960
1mrn	Ki	4.523	0.692
1no6	Ki	4.409	0.866
2vnp	Ki	9.921	0.500
1nwl	Ki	2.387	0.945
1lzq	Ki	8.387	0.991
1owh	Ki	7.398	0.989
1o1s	Ki	7.310	0.850
1ps3	Ki	2.284	0.818
1nvq	Ki	8.252	0.987
1ndw	Ki	5.229	0.835
1o0f	Ki	5.301	0.755
1o2r	Ki	5.215	0.994
1ocq	Ki	5.187	0.542
1owe	Ki	6.200	0.985
1ndy	Ki	6.167	0.851
1pb8	Ki	5.154	0.707
1o0m	Ki	5.149	0.888
1ndz	Ki	8.114	0.871
1nvr	Ki	8.108	0.987
1m2x	Ki	4.155	0.500
1oau	Kd	7.699	0.588
1mq6	Ki	11.155	0.994
1lpg	Ki	7.086	0.994
1o0n	Ki	4.086	0.871
1ui0	Ki	7.056	0.500
1od8	Ki	5.097	0.781
1qxk	Ki	5.046	0.949
1uw6	Kd	7.345	0.500
1sr7	Kd	10.097	0.929
1utj	Kd	3.842	0.500
1os5	Kd	6.854	0.690
1nki	Kd	6.699	0.500
1s19	Kd	9.509	0.977
1utn	Kd	3.493	0.981
1qy1	Kd	6.523	0.518
1xow	Kd	9.284	0.953
1tq4	Kd	6.194	0.658
1uho	Kd	9.222	0.974
1w9u	Kd	6.092	0.639
1t7d	Kd	6.027	0.500
1utm	Kd	3.012	0.500
1u1w	Kd	5.854	0.685
1qy2	Kd	5.745	0.500
1v11	Kd	3.980	0.942
1rmz	Kd	8.000	0.958
1vyg	Kd	8.000	0.530
1xws	Kd	8.000	0.984
1v1m	Kd	3.939	0.935
1uz8	Kd	4.959	0.500
1v16	Kd	3.870	0.937
1rd4	Kd	7.738	0.915
1pfu	Kd	2.721	0.500
1q1g	Kd	8.569	0.728
1szd	Kd	4.535	0.827
1xap	Kd	8.699	0.769
1utl	Kd	2.467	0.500
1oar	Kd	7.398	0.680
1td7	Kd	4.367	0.846
1ttm	Kd	7.347	0.897
1sv3	Kd	4.347	0.636
1w3j	Kd	6.315	0.863
1r9l	Kd	5.398	0.500
1uto	Kd	2.274	0.983
2bfr	Kd	5.249	0.500
1oxr	Kd	5.194	0.500
1sw2	Kd	7.222	0.500
1pzi	Kd	4.222	0.500
1q7a	Kd	7.194	0.810
4ghi	Kd	7.092	0.857
1uv6	Kd	5.121	0.500
1p19	Kd	4.115	0.703
1nw4	Kd	9.066	0.722
1vyf	Kd	8.046	0.537
1rp7	Ki	8.523	0.789
1v0l	Ki	7.553	0.599
1sqo	Ki	7.456	0.988
1ua4	Ki	4.222	0.509
